Side[S]	Cube	Blob	BlobSize	OptScore	Kval	Score	Time
1	c2x4x4	C3x7x7	147	115	1	115	0.1
4	c5x5x6	C24x24x29	16704	7104	64	7503	16651.6
7	c2x2x4	C15x15x31	6975	1487	343	1487	6253.3
3	c4x4x8	C15x15x31	6975	3519	27	3623	10400.4
4	c1x1x2	C4x4x9	144	16	64	16	0.3
1	c1x6x7	C1x11x13	143	101	1	101	1125.0
6	c1x5x5	C6x34x34	6936	1536	216	1548	7546.5
2	c1x2x5	C2x5x14	140	60	8	60	1125.4
6	c2x2x6	C13x13x41	6929	1745	216	1745	7018.1
8	c1x3x9	C8x26x80	16640	2816	512	2912	11036.1
2	c5x6x10	C14x17x29	6902	4502	8	4635	10839.3
4	c1x8x9	C4x39x44	6864	2256	64	2319	7128.1
3	c1x1x4	C3x3x15	135	27	27	27	0.1
9	c2x2x2	C19x19x19	6859	1027	729	1027	2849.9
1	c2x3x5	C3x5x9	135	105	1	105	1125.1
1	c2x2x8	C3x3x15	135	103	1	103	1125.1
4	c4x4x4	C19x19x19	6859	2763	64	2842	10429.0
1	c1x5x8	C1x9x15	135	95	1	95	0.0
3	c5x5x5	C19x19x19	6859	3484	27	3584	10434.1
1	c10x10x10	C19x19x19	6859	5859	1	5889	6863.6
1	c1x4x10	C1x7x19	133	93	1	93	0.1
3	c3x6x7	C11x23x27	6831	3429	27	3540	11986.7
5	c1x5x8	C5x29x47	6815	1815	125	1860	6913.3
2	c6x7x7	C17x20x20	6800	4448	8	4580	13318.4
4	c3x5x10	C14x24x49	16464	6864	64	7227	15655.9
5	c1x4x10	C5x23x59	6785	1785	125	1825	6641.2
2	c1x3x3	C2x8x8	128	56	8	56	0.1
2	c3x10x10	C8x29x29	6728	4328	8	4436	10328.0
7	c1x4x4	C7x31x31	6727	1239	343	1239	4296.5
3	c2x8x8	C7x31x31	6727	3271	27	3359	9611.5
10	c1x2x3	C10x21x32	6720	720	1000	720	90.6
2	c2x2x2	C5x5x5	125	61	8	61	1125.4
6	c3x3x6	C20x20x41	16400	4736	216	4891	16696.3
1	c3x3x3	C5x5x5	125	98	1	98	0.0
9	c1x2x4	C9x19x39	6669	837	729	837	803.7
1	c1x6x6	C1x11x11	121	85	1	85	0.1
4	c2x4x8	C9x19x39	6669	2573	64	2625	9365.3
7	c3x3x4	C23x23x31	16399	4051	343	4192	13404.6
4	c3x3x7	C14x14x34	6664	2632	64	2683	8459.1
4	c1x7x10	C4x34x49	6664	2184	64	2228	8232.4
1	c1x4x9	C1x7x17	119	83	1	83	1125.1
2	c6x6x8	C17x17x23	6647	4343	8	4468	7891.5
5	c3x3x4	C17x17x23	6647	2147	125	2166	11339.7
6	c1x4x6	C6x27x41	6642	1458	216	1494	7553.2
1	c2x2x7	C3x3x13	117	89	1	89	0.0
1	c1x5x7	C1x9x13	117	82	1	82	1125.1
2	c1x1x10	C2x2x29	116	36	8	36	0.1
3	c6x6x8	C23x23x31	16399	8623	27	9065	19033.6
7	c1x2x8	C7x15x63	6615	1127	343	1127	3894.3
3	c2x7x9	C7x27x35	6615	3213	27	3294	10077.8
6	c1x3x8	C6x20x55	6600	1416	216	1416	5488.9
2	c1x2x4	C2x5x11	110	46	8	46	0.1
2	c4x8x9	C11x23x26	6578	4274	8	4383	11117.5
3	c4x5x6	C15x19x23	6555	3315	27	3390	10976.7
5	c2x3x6	C11x17x35	6545	2045	125	2080	9721.4
10	c1x1x6	C10x10x65	6500	500	1000	500	2525.5
1	c2x3x4	C3x5x7	105	81	1	81	1125.0
1	c1x4x8	C1x7x15	105	73	1	73	1125.1
2	c1x1x9	C2x2x26	104	32	8	32	1125.2
3	c3x5x8	C11x19x31	6479	3239	27	3334	9113.8
2	c5x7x8	C14x20x23	6440	4200	8	4322	8821.1
3	c3x4x10	C11x15x39	6435	3195	27	3269	9547.6
5	c2x2x9	C11x11x53	6413	1913	125	1943	8096.3
3	c1x1x3	C3x3x11	99	18	27	18	0.1
1	c2x2x6	C3x3x11	99	75	1	75	1125.1
1	c1x5x6	C1x9x11	99	69	1	69	0.0
9	c1x1x8	C9x9x79	6399	567	729	567	3064.0
4	c3x4x5	C14x19x24	6384	2544	64	2637	8388.0
2	c4x7x10	C11x20x29	6380	4140	8	4242	10926.4
1	c1x3x10	C1x5x19	95	65	1	65	1125.0
3	c4x8x9	C15x31x35	16275	8499	27	8892	20695.1
2	c1x1x8	C2x2x23	92	28	8	28	1125.1
1	c1x4x7	C1x7x13	91	63	1	63	0.0
7	c1x3x5	C7x23x39	6279	1134	343	1134	4406.0
3	c2x6x10	C7x23x39	6279	3039	27	3107	9158.3
7	c2x3x6	C15x23x47	16215	3867	343	3970	15590.3
4	c2x5x6	C9x24x29	6264	2424	64	2465	8075.6
4	c3x7x7	C14x34x34	16184	6776	64	7128	17281.9
1	c1x3x9	C1x5x17	85	58	1	58	1125.1
2	c5x6x9	C14x17x26	6188	4028	8	4139	9133.6
4	c2x3x10	C9x14x49	6174	2334	64	2376	8695.0
1	c9x10x10	C17x19x19	6137	5237	1	5260	7052.1
5	c1x6x6	C5x35x35	6125	1625	125	1660	5679.6
1	c2x2x5	C3x3x9	81	61	1	61	0.0
1	c1x5x5	C1x9x9	81	56	1	56	1125.0
5	c1x4x9	C5x23x53	6095	1595	125	1630	8254.6
2	c1x2x3	C2x5x8	80	32	8	32	0.1
2	c1x1x7	C2x2x20	80	24	8	24	1125.1
4	c1x8x8	C4x39x39	6084	1988	64	2028	8908.3
3	c4x4x7	C15x15x27	6075	3051	27	3135	10104.5
2	c3x9x10	C8x26x29	6032	3872	8	3958	8619.9
1	c1x4x6	C1x7x11	77	53	1	53	1125.0
4	c1x7x9	C4x34x44	5984	1952	64	1984	7884.0
8	c1x2x5	C8x17x44	5984	864	512	864	5307.0
6	c2x3x9	C13x20x62	16120	4456	216	4575	13528.8
1	c2x3x3	C3x5x5	75	57	1	57	0.0
1	c1x3x8	C1x5x15	75	51	1	51	1125.0
5	c1x5x7	C5x29x41	5945	1570	125	1605	7690.9
3	c2x7x8	C7x27x31	5859	2835	27	2894	7027.2
2	c4x8x8	C11x23x23	5819	3771	8	3861	9483.7
3	c3x6x6	C11x23x23	5819	2903	27	2958	11746.5
2	c1x1x6	C2x2x17	68	20	8	20	1125.1
5	c2x4x4	C11x23x23	5819	1819	125	1829	8006.6
4	c2x4x7	C9x19x34	5814	2230	64	2274	7826.2
2	c6x6x7	C17x17x20	5780	3764	8	3874	10118.8
1	c1x3x7	C1x5x13	65	44	1	44	1125.0
7	c1x2x7	C7x15x55	5775	973	343	973	6298.2
5	c3x4x7	C17x23x41	16031	5531	125	5803	15676.4
3	c3x4x9	C11x15x35	5775	2859	27	2906	11670.9
6	c1x3x7	C6x20x48	5760	1224	216	1224	5437.6
3	c1x1x2	C3x3x7	63	9	27	9	1125.1
1	c2x2x4	C3x3x7	63	47	1	47	0.0
1	c1x4x5	C1x7x9	63	43	1	43	0.0
6	c2x2x5	C13x13x34	5746	1426	216	1426	8113.6
9	c2x3x3	C19x29x29	15979	2857	729	2857	10948.4
2	c4x7x9	C11x20x26	5720	3704	8	3793	9759.6
8	c1x1x10	C8x8x89	5696	576	512	576	76.6
5	c2x2x8	C11x11x47	5687	1687	125	1697	7301.6
2	c5x5x10	C14x14x29	5684	3684	8	3769	9658.6
4	c3x3x6	C14x14x29	5684	2228	64	2277	7423.5
4	c1x6x10	C4x29x49	5684	1844	64	1872	6846.3
4	c4x6x6	C19x29x29	15979	6763	64	7150	21102.0
3	c3x5x7	C11x19x27	5643	2808	27	2877	9568.8
3	c2x6x9	C7x23x35	5635	2719	27	2755	9690.7
2	c5x7x7	C14x20x20	5600	3640	8	3744	9149.5
1	c1x2x10	C1x3x19	57	37	1	37	0.0
9	c1x1x7	C9x9x69	5589	486	729	486	93.8
7	c2x2x9	C15x15x71	15975	3627	343	3705	11142.4
2	c1x1x5	C2x2x14	56	16	8	16	750.0
4	c2x3x9	C9x14x44	5544	2088	64	2128	7225.8
1	c1x3x6	C1x5x11	55	37	1	37	0.0
6	c1x4x5	C6x27x34	5508	1188	216	1200	7293.9
10	c1x2x7	C10x21x76	15960	1960	1000	1960	6884.9
1	c9x9x10	C17x17x19	5491	4681	1	4701	6076.8
2	c5x6x8	C14x17x23	5474	3554	8	3647	11399.4
3	c5x7x8	C19x27x31	15903	8343	27	8714	18881.9
2	c4x6x10	C11x17x29	5423	3503	8	3588	10596.5
5	c2x3x5	C11x17x29	5423	1673	125	1698	7769.4
3	c4x5x5	C15x19x19	5415	2715	27	2781	8413.0
1	c1x2x9	C1x3x17	51	33	1	33	0.0
1	c8x10x10	C15x19x19	5415	4615	1	4633	6867.7
2	c3x9x9	C8x26x26	5408	3464	8	3544	9060.2
8	c1x3x3	C8x26x26	5408	800	512	800	715.7
5	c1x4x8	C5x23x47	5405	1405	125	1434	5044.8
2	c1x2x2	C2x5x5	50	18	8	18	750.1
10	c1x1x5	C10x10x54	5400	400	1000	400	63.9
4	c4x4x9	C19x19x44	15884	6668	64	7045	16884.7
1	c1x4x4	C1x7x7	49	33	1	33	750.0
6	c1x2x10	C6x13x69	5382	1062	216	1062	2443.5
2	c3x8x10	C8x23x29	5336	3416	8	3507	7704.3
6	c1x7x8	C6x48x55	15840	3744	216	3868	13261.2
4	c1x7x8	C4x34x39	5304	1720	64	1747	7183.7
4	c3x6x8	C14x29x39	15834	6618	64	6863	17826.7
1	c2x2x3	C3x3x5	45	33	1	33	750.0
1	c1x3x5	C1x5x9	45	30	1	30	0.0
1	c1x2x8	C1x3x15	45	29	1	29	0.0
6	c2x3x3	C13x20x20	5200	1312	216	1312	7674.4
2	c1x1x4	C2x2x11	44	12	8	12	0.0
3	c2x5x10	C7x19x39	5187	2487	27	2530	8566.2
4	c2x5x5	C9x24x24	5184	1984	64	2032	7208.1
3	c4x7x10	C15x27x39	15795	8235	27	8605	19846.7
