Side[S]	Cube	Blob	BlobSize	OptScore	Kval	Score	Time
4	c2x2x2	C9x9x9	729	217	64	217	1.3
4	c4x4x10	C19x19x49	17689	7449	64	7898	20590.5
1	c5x5x5	C9x9x9	729	604	1	604	2041.9
2	c1x5x9	C2x14x26	728	368	8	368	10.0
2	c2x2x10	C5x5x29	725	405	8	405	269.0
5	c1x1x5	C5x5x29	725	100	125	100	1.3
6	c1x4x10	C6x27x69	11178	2538	216	2580	10602.8
6	c1x1x3	C6x6x20	720	72	216	72	1.2
1	c3x6x7	C5x11x13	715	589	1	589	46.8
5	c2x5x6	C11x29x35	11165	3665	125	3774	10790.5
2	c3x3x4	C8x8x11	704	416	8	416	3015.9
4	c1x1x9	C4x4x44	704	128	64	128	2034.5
3	c4x5x10	C15x19x39	11115	5715	27	5968	12735.8
5	c1x8x8	C5x47x47	11045	3045	125	3145	11268.4
1	c4x5x6	C7x9x11	693	573	1	573	2524.6
5	c2x3x10	C11x17x59	11033	3533	125	3646	11189.2
8	c1x3x6	C8x26x53	11024	1808	512	1808	7710.8
4	c4x5x5	C19x24x24	10944	4544	64	4756	10548.6
4	c1x2x4	C4x9x19	684	172	64	172	1.1
2	c2x3x6	C5x8x17	680	392	8	392	21.0
3	c4x7x7	C15x27x27	10935	5643	27	5869	15241.0
2	c1x6x7	C2x17x20	680	344	8	344	91.6
3	c1x4x4	C3x15x15	675	243	27	243	5.5
1	c3x5x8	C5x9x15	675	555	1	555	3040.2
1	c2x8x8	C3x15x15	675	547	1	547	96.6
10	c1x1x10	C10x10x109	10900	900	1000	900	1407.2
8	c1x2x9	C8x17x80	10880	1664	512	1664	3507.8
1	c3x4x10	C5x7x19	665	545	1	545	62.6
1	c2x7x9	C3x13x17	663	537	1	537	84.1
2	c9x9x9	C26x26x26	17576	11744	8	12150	25098.1
5	c1x7x9	C5x41x53	10865	2990	125	3078	10943.4
3	c1x2x8	C3x7x31	651	219	27	219	2520.2
2	c2x2x9	C5x5x26	650	362	8	362	61.6
6	c3x3x4	C20x20x27	10800	3024	216	3072	14207.3
2	c1x5x8	C2x14x23	644	324	8	324	3076.1
2	c1x4x10	C2x11x29	638	318	8	318	24.9
1	c4x4x7	C7x7x13	637	525	1	525	2516.7
8	c3x3x3	C26x26x26	17576	3752	512	3872	15635.1
3	c1x3x5	C3x11x19	627	222	27	222	2047.3
1	c2x6x10	C3x11x19	627	507	1	507	79.7
4	c1x1x8	C4x4x39	624	112	64	112	1.3
7	c2x3x4	C15x23x31	10695	2463	343	2527	10176.9
3	c4x6x8	C15x23x31	10695	5511	27	5703	16529.4
6	c2x3x6	C13x20x41	10660	2884	216	2942	10597.9
7	c1x5x5	C7x39x39	10647	2072	343	2142	7752.4
2	c2x4x4	C5x11x11	605	349	8	349	28.0
1	c3x6x6	C5x11x11	605	497	1	497	2.7
5	c1x2x2	C5x11x11	605	105	125	105	1.1
3	c2x10x10	C7x39x39	10647	5247	27	5405	12232.7
1	c3x4x9	C5x7x17	595	487	1	487	2.9
4	c2x5x10	C9x24x49	10584	4184	64	4351	12006.4
2	c7x8x8	C20x23x23	10580	6996	8	7220	14352.1
1	c3x5x7	C5x9x13	585	480	1	480	8.2
1	c2x7x8	C3x13x15	585	473	1	473	14.5
7	c2x2x6	C15x15x47	10575	2343	343	2399	8675.6
3	c3x8x8	C11x31x31	10571	5387	27	5527	14353.4
2	c1x6x6	C2x17x17	578	290	8	290	3072.3
2	c2x2x8	C5x5x23	575	319	8	319	23.4
5	c1x1x4	C5x5x23	575	75	125	75	1.1
2	c1x4x9	C2x11x26	572	284	8	284	3039.7
3	c1x2x7	C3x7x27	567	189	27	189	2040.7
1	c4x5x5	C7x9x9	567	467	1	467	2.1
2	c5x9x10	C14x26x29	10556	6956	8	7169	14591.7
1	c2x6x9	C3x11x17	561	453	1	453	3020.5
2	c2x3x5	C5x8x14	560	320	8	320	3012.7
2	c1x5x7	C2x14x20	560	280	8	280	3015.6
6	c2x2x9	C13x13x62	10478	2702	216	2747	11790.2
4	c1x1x7	C4x4x34	544	96	64	96	2034.2
9	c2x2x3	C19x19x29	10469	1721	729	1721	7390.8
3	c2x2x3	C7x7x11	539	215	27	215	1.9
1	c4x4x6	C7x7x11	539	443	1	443	3.0
4	c4x4x6	C19x19x29	10469	4325	64	4494	14715.0
4	c2x7x7	C9x34x34	10404	4132	64	4266	10137.9
1	c3x4x8	C5x7x15	525	429	1	429	8.4
2	c7x7x9	C20x20x26	10400	6872	8	7110	16025.4
4	c2x9x9	C9x44x44	17424	7056	64	7347	14358.9
3	c3x7x9	C11x27x35	10395	5292	27	5482	13664.3
1	c2x5x10	C3x9x19	513	413	1	413	3040.5
4	c3x4x8	C14x19x39	10374	4230	64	4380	12383.7
2	c3x3x3	C8x8x8	512	296	8	296	2517.1
5	c2x4x7	C11x23x41	10373	3373	125	3466	13727.4
1	c2x7x7	C3x13x13	507	409	1	409	12.7
2	c1x4x8	C2x11x23	506	250	8	250	3045.8
5	c1x6x10	C5x35x59	10325	2825	125	2913	9732.3
4	c1x2x3	C4x9x14	504	120	64	120	2033.5
2	c2x2x7	C5x5x20	500	276	8	276	8.1
5	c1x10x10	C5x59x59	17405	4905	125	5080	12798.2
3	c1x3x4	C3x11x15	495	171	27	171	1.4
1	c3x5x6	C5x9x11	495	405	1	405	2032.8
1	c2x6x8	C3x11x15	495	399	1	399	0.4
10	c1x3x3	C10x32x32	10240	1240	1000	1240	3426.2
7	c1x4x6	C7x31x47	10199	1967	343	2023	9465.8
9	c1x3x4	C9x29x39	10179	1431	729	1431	4985.6
3	c1x2x6	C3x7x23	483	159	27	159	2.1
4	c2x6x8	C9x29x39	10179	4035	64	4200	13723.5
2	c6x8x9	C17x23x26	10166	6710	8	6940	11255.5
2	c1x5x6	C2x14x17	476	236	8	236	2517.6
1	c3x3x10	C5x5x19	475	385	1	385	1.7
7	c1x3x8	C7x23x63	10143	1911	343	1967	6612.1
8	c1x4x7	C8x35x62	17360	3024	512	3112	16920.5
6	c1x1x2	C6x6x13	468	36	216	36	0.9
2	c1x3x10	C2x8x29	464	224	8	224	3016.1
4	c1x1x6	C4x4x29	464	80	64	80	2032.1
1	c2x5x9	C3x9x17	459	369	1	369	14.7
