x,y,z
3,27,15
4,25,29
4,27,15
4,28,28
4,29,27
4,29,28
4,30,19
4,31,19
4,31,20
4,32,18
4,32,19
4,32,20
4,32,21
4,33,18
4,33,19
4,33,20
4,34,17
4,34,18
5,19,26
5,20,26
5,20,27
5,20,28
5,25,29
5,28,28
5,28,29
5,29,25
5,29,26
5,29,27
5,29,28
5,29,29
5,30,19
5,30,20
5,30,21
5,30,24
5,30,25
5,30,26
5,30,27
5,31,19
5,31,20
5,31,21
5,31,22
5,32,18
5,32,19
5,32,20
5,32,21
5,33,17
5,33,18
5,33,19
5,33,20
5,33,21
5,34,17
5,34,18
5,34,19
5,34,20
5,35,13
5,35,17
5,35,18
5,35,19
5,36,18
6,17,24
6,17,25
6,17,26
6,18,24
6,18,25
6,18,26
6,18,27
6,18,28
6,19,26
6,19,27
6,19,28
6,19,29
6,19,30
6,20,27
6,20,28
6,20,29
6,20,30
6,20,31
6,21,31
6,21,32
6,28,27
6,28,28
6,28,29
6,29,20
6,29,21
6,29,24
6,29,25
6,29,26
6,29,27
6,29,28
6,29,29
6,30,19
6,30,20
6,30,21
6,30,22
6,30,23
6,30,24
6,30,25
6,30,26
6,31,19
6,31,20
6,31,21
6,31,22
6,31,25
6,32,18
6,32,19
6,32,20
6,32,21
6,32,22
6,33,18
6,33,19
6,33,20
6,33,21
6,34,10
6,34,17
6,34,18
6,34,19
6,34,20
6,34,21
6,35,9
6,35,10
6,35,13
6,35,14
6,35,15
6,35,16
6,35,17
6,35,18
6,35,19
6,35,20
6,36,9
6,36,16
6,36,17
6,36,18
6,36,19
6,36,20
6,37,17
6,37,18
6,37,19
6,37,20
6,38,18
6,38,19
7,15,24
7,15,25
7,15,26
7,16,24
7,16,25
7,16,26
7,16,27
7,16,28
7,17,24
7,17,25
7,17,26
7,17,27
7,17,28
7,17,29
7,18,24
7,18,25
7,18,26
7,18,27
7,18,28
7,18,29
7,18,30
7,18,31
7,19,25
7,19,26
7,19,27
7,19,28
7,19,29
7,19,30
7,19,31
7,19,32
7,20,26
7,20,27
7,20,28
7,20,29
7,20,30
7,20,31
7,20,32
7,21,31
7,21,32
7,21,33
7,28,23
7,28,24
7,28,25
7,28,26
7,28,27
7,28,28
7,29,20
7,29,21
7,29,22
7,29,23
7,29,24
7,29,25
7,29,26
7,29,27
7,30,19
7,30,20
7,30,21
7,30,22
7,30,23
7,30,24
7,30,25
7,30,26
7,31,19
7,31,20
7,31,21
7,31,22
7,31,23
7,31,24
7,31,25
7,32,18
7,32,19
7,32,20
7,32,21
7,32,22
7,32,23
7,33,18
7,33,19
7,33,20
7,33,21
7,33,22
7,34,17
7,34,18
7,34,19
7,34,20
7,34,21
7,34,22
7,35,8
7,35,9
7,35,13
7,35,14
7,35,15
7,35,16
7,35,17
7,35,18
7,35,19
7,35,20
7,35,21
7,36,14
7,36,15
7,36,16
7,36,17
7,36,18
7,36,19
7,36,20
7,36,21
7,37,16
7,37,17
7,37,18
7,37,19
7,37,20
7,37,21
7,38,16
7,38,17
7,38,18
7,38,19
7,38,20
8,14,25
8,14,26
8,14,27
8,15,25
8,15,26
8,15,27
8,15,28
8,15,29
8,16,25
8,16,26
8,16,27
8,16,28
8,16,29
8,16,30
8,17,25
8,17,26
8,17,27
8,17,28
8,17,29
8,17,30
8,17,31
8,18,24
8,18,25
8,18,26
8,18,27
8,18,28
8,18,29
8,18,30
8,18,31
8,18,32
8,19,24
8,19,25
8,19,26
8,19,27
8,19,28
8,19,29
8,19,30
8,19,31
8,19,32
8,19,33
8,20,26
8,20,27
8,20,28
8,20,29
8,20,30
8,21,28
8,28,20
8,28,21
8,28,22
8,28,23
8,28,24
8,28,25
8,28,26
8,28,27
8,28,28
8,29,20
8,29,21
8,29,22
8,29,23
8,29,24
8,29,25
8,29,26
8,29,27
8,30,19
8,30,20
8,30,21
8,30,22
8,30,23
8,30,24
8,30,25
8,30,26
8,31,18
8,31,19
8,31,20
8,31,21
8,31,22
8,31,23
8,31,24
8,31,25
8,32,18
8,32,19
8,32,20
8,32,21
8,32,22
8,32,23
8,33,17
8,33,18
8,33,19
8,33,20
8,33,21
8,33,22
8,33,23
8,34,16
8,34,17
8,34,18
8,34,19
8,34,20
8,34,21
8,34,22
8,34,23
8,35,9
8,35,14
8,35,15
8,35,16
8,35,17
8,35,18
8,35,19
8,35,20
8,35,21
8,35,22
8,36,14
8,36,15
8,36,16
8,36,17
8,36,18
8,36,19
8,36,20
8,36,21
8,37,15
8,37,16
8,37,17
8,37,18
8,37,19
8,37,20
8,37,21
8,38,15
8,38,18
8,38,19
8,38,20
9,13,27
9,14,27
9,14,28
9,14,29
9,15,26
9,15,27
9,15,28
9,15,29
9,15,30
9,16,25
9,16,26
9,16,27
9,16,28
9,16,29
9,16,30
9,16,31
9,16,32
9,17,25
9,17,26
9,17,27
9,17,28
9,17,29
9,17,30
9,17,31
9,17,32
9,17,33
9,18,24
9,18,25
9,18,26
9,18,27
9,18,28
9,18,29
9,18,30
9,18,31
9,18,32
9,18,33
9,19,24
9,19,25
9,19,26
9,19,27
9,19,28
9,19,29
9,19,30
9,19,31
9,20,26
9,20,27
9,20,28
9,20,29
9,21,28
9,27,22
9,27,23
9,27,24
9,27,26
9,28,20
9,28,21
9,28,22
9,28,23
9,28,24
9,28,25
9,28,26
9,28,27
9,29,19
9,29,20
9,29,21
9,29,22
9,29,23
9,29,24
9,29,25
9,29,26
9,29,27
9,30,18
9,30,19
9,30,20
9,30,21
9,30,22
9,30,23
9,30,24
9,30,25
9,30,26
9,31,18
9,31,19
9,31,20
9,31,21
9,31,22
9,31,23
9,31,24
9,31,35
9,32,17
9,32,18
9,32,19
9,32,20
9,32,21
9,32,22
9,32,23
9,32,24
9,33,16
9,33,17
9,33,18
9,33,19
9,33,20
9,33,21
9,33,22
9,33,23
9,34,15
9,34,16
9,34,17
9,34,18
9,34,19
9,34,20
9,34,21
9,34,22
9,34,23
9,35,14
9,35,15
9,35,16
9,35,17
9,35,18
9,35,19
9,35,20
9,35,21
9,36,14
9,36,15
9,36,16
9,36,17
9,36,18
9,36,19
9,36,20
9,37,17
9,37,18
9,37,19
9,37,20
9,37,21
10,13,29
10,14,28
10,14,29
10,14,30
10,15,28
10,15,29
10,15,30
10,15,31
10,15,32
10,16,26
10,16,27
10,16,28
10,16,29
10,16,30
10,16,31
10,16,32
10,17,25
10,17,26
10,17,27
10,17,28
10,17,29
10,17,30
10,17,31
10,18,24
10,18,25
10,18,26
10,18,27
10,18,28
10,18,29
10,18,30
10,18,31
10,19,24
10,19,25
10,19,26
10,19,27
10,19,28
10,19,29
10,19,30
10,20,26
10,20,27
10,20,28
10,20,29
10,27,21
10,27,22
10,27,23
10,27,24
10,27,25
10,27,26
10,28,20
10,28,21
10,28,22
10,28,23
10,28,24
10,28,25
10,28,26
10,29,19
10,29,20
10,29,21
10,29,22
10,29,23
10,29,24
10,29,25
10,29,26
10,30,18
10,30,19
10,30,20
10,30,21
10,30,22
10,30,23
10,30,24
10,30,25
10,30,26
10,30,34
10,30,35
10,30,36
10,31,17
10,31,18
10,31,19
10,31,20
10,31,21
10,31,22
10,31,23
10,31,24
10,31,32
10,31,33
10,31,34
10,31,35
10,31,36
10,32,16
10,32,17
10,32,18
10,32,19
10,32,20
10,32,21
10,32,22
10,32,23
10,32,24
10,32,33
10,32,34
10,32,35
10,33,16
10,33,17
10,33,18
10,33,19
10,33,20
10,33,21
10,33,22
10,33,23
10,33,24
10,34,16
10,34,17
10,34,18
10,34,19
10,34,20
10,34,21
10,34,22
10,34,23
10,35,15
10,35,16
10,35,17
10,35,18
10,35,19
10,35,20
10,35,21
10,36,15
10,36,16
10,36,17
10,36,18
10,36,19
10,36,20
10,36,21
10,37,17
10,37,18
10,37,19
10,37,20
10,37,21
10,47,13
10,48,12
10,48,13
10,49,13
11,14,30
11,14,31
11,14,32
11,15,29
11,15,30
11,15,31
11,15,32
11,15,33
11,16,27
11,16,28
11,16,29
11,16,30
11,17,26
11,17,27
11,17,28
11,17,29
11,17,30
11,18,25
11,18,26
11,18,27
11,18,28
11,18,29
11,18,30
11,19,26
11,19,27
11,19,28
11,19,29
11,26,23
11,26,24
11,27,21
11,27,22
11,27,23
11,27,24
11,27,25
11,28,20
11,28,21
11,28,22
11,28,23
11,28,24
11,28,25
11,29,19
11,29,20
11,29,21
11,29,22
11,29,23
11,29,24
11,29,25
11,29,34
11,29,35
11,30,18
11,30,19
11,30,20
11,30,21
11,30,22
11,30,23
11,30,24
11,30,33
11,30,34
11,30,35
11,30,36
11,30,37
11,31,17
11,31,18
11,31,19
11,31,20
11,31,21
11,31,22
11,31,23
11,31,24
11,31,32
11,31,33
11,31,34
11,31,35
11,31,36
11,32,16
11,32,17
11,32,18
11,32,19
11,32,20
11,32,21
11,32,22
11,32,23
11,32,24
11,32,32
11,32,33
11,32,34
11,32,35
11,32,36
11,33,15
11,33,16
11,33,17
11,33,18
11,33,19
11,33,20
11,33,21
11,33,22
11,33,23
11,33,24
11,34,15
11,34,16
11,34,17
11,34,18
11,34,19
11,34,20
11,34,21
11,34,22
11,34,23
11,35,15
11,35,16
11,35,17
11,35,18
11,35,19
11,35,20
11,35,21
11,35,22
11,36,15
11,36,16
11,36,17
11,36,18
11,36,19
11,36,20
11,36,21
11,36,22
11,37,19
11,37,20
11,37,21
11,38,20
11,43,31
11,43,32
11,44,30
11,44,31
11,45,30
11,45,31
11,46,13
11,47,12
11,47,13
11,48,12
11,48,13
11,49,12
11,49,13
11,50,12
11,50,13
12,14,32
12,17,28
12,18,27
12,26,22
12,26,23
12,26,24
12,27,21
12,27,22
12,27,23
12,27,24
12,27,25
12,28,20
12,28,21
12,28,22
12,28,23
12,28,24
12,28,25
12,28,35
12,28,36
12,28,37
12,28,38
12,29,19
12,29,20
12,29,21
12,29,22
12,29,23
12,29,24
12,29,32
12,29,33
12,29,34
12,29,35
12,29,36
12,29,37
12,29,38
12,30,17
12,30,18
12,30,19
12,30,20
12,30,21
12,30,22
12,30,23
12,30,24
12,30,32
12,30,33
12,30,34
12,30,35
12,30,36
12,30,37
12,31,16
12,31,17
12,31,18
12,31,19
12,31,20
12,31,21
12,31,22
12,31,23
12,31,24
12,31,31
12,31,32
12,31,33
12,31,34
12,31,35
12,31,36
12,31,37
12,32,14
12,32,15
12,32,16
12,32,17
12,32,18
12,32,19
12,32,20
12,32,21
12,32,22
12,32,23
12,32,24
12,32,31
12,32,32
12,32,33
12,32,34
12,32,35
12,32,36
12,32,37
12,33,13
12,33,14
12,33,15
12,33,16
12,33,17
12,33,18
12,33,19
12,33,20
12,33,21
12,33,22
12,33,23
12,33,24
12,33,34
12,33,35
12,33,36
12,34,13
12,34,14
12,34,15
12,34,16
12,34,17
12,34,18
12,34,19
12,34,20
12,34,21
12,34,22
