x,y,z
8,49,41
8,49,42
8,50,41
8,50,42
8,51,40
8,51,41
8,51,42
8,52,41
8,52,42
9,48,41
9,48,42
9,49,40
9,49,41
9,49,42
9,50,39
9,50,40
9,50,41
9,50,42
9,50,43
9,51,39
9,51,40
9,51,41
9,51,42
9,51,43
9,52,39
9,52,40
9,52,41
9,52,42
9,52,43
9,53,39
9,53,40
9,53,41
9,53,42
9,54,38
9,54,39
9,54,40
9,55,37
9,55,38
9,55,39
9,55,40
9,56,38
9,56,39
10,49,41
10,49,42
10,50,40
10,50,41
10,50,42
10,51,39
10,51,40
10,51,41
10,51,42
10,52,39
10,52,40
10,52,41
10,52,42
10,53,39
10,53,40
10,53,41
10,54,39
10,54,40
10,55,39
10,56,30
10,57,30
10,58,30
10,59,25
10,59,26
10,59,29
10,59,30
10,59,31
10,60,24
10,60,25
10,60,26
10,60,27
10,60,28
10,60,29
10,60,30
10,61,24
10,61,25
10,61,26
10,61,27
10,61,28
10,61,29
10,61,30
10,62,26
10,62,27
10,62,28
10,62,29
10,62,30
11,50,40
11,50,41
11,51,40
11,52,40
11,54,30
11,55,29
11,55,30
11,56,27
11,56,28
11,56,29
11,56,30
11,57,27
11,57,28
11,57,29
11,57,30
11,57,31
11,58,27
11,58,28
11,58,29
11,58,30
11,58,31
11,59,25
11,59,26
11,59,27
11,59,28
11,59,29
11,59,30
11,60,24
11,60,25
11,60,26
11,60,27
11,60,28
11,60,29
11,60,30
11,61,24
11,61,25
11,61,26
11,61,27
11,61,28
11,61,29
11,62,24
11,62,25
11,62,26
11,62,27
11,62,28
11,62,29
11,63,25
12,54,27
12,54,28
12,54,29
12,54,30
12,55,26
12,55,27
12,55,28
12,55,29
12,55,30
12,56,26
12,56,27
12,56,28
12,56,29
12,56,30
12,56,31
12,57,25
12,57,26
12,57,27
12,57,28
12,57,29
12,57,30
12,57,31
12,58,24
12,58,25
12,58,26
12,58,27
12,58,28
12,58,29
12,58,30
12,58,31
12,59,24
12,59,25
12,59,26
12,59,27
12,59,28
12,59,29
12,59,30
12,60,24
12,60,25
12,60,26
12,60,27
12,60,28
12,60,29
12,60,30
12,61,24
12,61,25
12,61,26
12,61,27
12,61,28
12,61,29
12,62,24
12,62,25
12,62,26
12,62,27
12,62,28
12,62,29
12,63,23
12,63,24
12,63,25
12,63,26
12,64,24
12,64,25
12,64,26
12,65,24
12,65,25
12,65,26
13,32,50
13,32,51
13,32,52
13,33,54
13,34,54
13,34,55
13,35,56
13,36,59
13,53,27
13,53,28
13,54,26
13,54,27
13,54,28
13,54,29
13,55,25
13,55,26
13,55,27
13,55,28
13,55,29
13,55,30
13,56,24
13,56,25
13,56,26
13,56,27
13,56,28
13,56,29
13,56,30
13,57,24
13,57,25
13,57,26
13,57,27
13,57,28
13,57,29
13,57,30
13,57,31
13,58,23
13,58,24
13,58,25
13,58,26
13,58,27
13,58,28
13,58,29
13,58,30
13,59,23
13,59,24
13,59,25
13,59,26
13,59,27
13,59,28
13,59,29
13,59,30
13,60,23
13,60,24
13,60,25
13,60,26
13,60,27
13,60,28
13,60,29
13,60,30
13,61,23
13,61,24
13,61,25
13,61,26
13,61,27
13,61,28
13,61,29
13,62,21
13,62,22
13,62,23
13,62,24
13,62,25
13,62,26
13,62,27
13,62,28
13,62,29
13,63,21
13,63,22
13,63,23
13,63,24
13,63,25
13,63,26
13,63,27
13,64,21
13,64,22
13,64,23
13,64,24
13,64,25
13,64,26
13,64,27
13,65,21
13,65,22
13,65,23
13,65,24
13,65,25
13,65,26
13,66,22
14,29,48
14,30,49
14,30,50
14,30,51
14,30,52
14,30,53
14,31,48
14,31,49
14,31,50
14,31,51
14,31,52
14,31,53
14,31,54
14,31,55
14,32,49
14,32,50
14,32,51
14,32,52
14,32,53
14,32,54
14,32,55
14,32,56
14,33,52
14,33,53
14,33,54
14,33,55
14,33,56
14,33,57
14,33,58
14,34,53
14,34,54
14,34,55
14,34,56
14,34,57
14,34,58
14,35,57
14,35,58
14,35,59
14,36,59
14,36,60
14,36,61
14,37,61
14,38,61
14,53,28
14,54,27
14,54,28
14,55,25
14,55,26
14,55,27
14,55,28
14,55,29
14,56,24
14,56,25
14,56,26
14,56,27
14,56,28
14,56,29
14,57,23
14,57,24
14,57,25
14,57,26
14,57,27
14,57,28
14,57,29
14,57,30
14,58,22
14,58,23
14,58,24
14,58,25
14,58,26
14,58,27
14,58,28
14,58,29
14,58,30
14,59,22
14,59,23
14,59,24
14,59,25
14,59,26
14,59,27
14,59,28
14,59,29
14,59,30
14,60,22
14,60,23
14,60,24
14,60,25
14,60,26
14,60,27
14,60,28
14,60,29
14,60,30
14,61,21
14,61,22
14,61,23
14,61,24
14,61,25
14,61,26
14,61,27
14,61,28
14,61,29
14,62,21
14,62,22
14,62,23
14,62,24
14,62,25
14,62,26
14,62,27
14,62,28
14,62,29
14,63,20
14,63,21
14,63,22
14,63,23
14,63,24
14,63,25
14,63,26
14,63,27
14,63,28
14,64,20
14,64,21
14,64,22
14,64,23
14,64,24
14,64,25
14,64,26
14,64,27
14,65,18
14,65,19
14,65,20
14,65,21
14,65,22
14,65,23
14,65,24
14,65,25
14,65,26
14,65,27
14,66,18
14,66,19
14,66,22
14,66,23
14,66,24
14,66,25
15,28,49
15,28,50
15,28,51
15,28,52
15,29,48
15,29,49
15,29,50
15,29,51
15,29,52
15,29,53
15,29,54
15,30,19
15,30,20
15,30,48
15,30,49
15,30,50
15,30,51
15,30,52
15,30,53
15,30,54
15,30,55
15,30,56
15,31,19
15,31,20
15,31,21
15,31,49
15,31,50
15,31,51
15,31,52
15,31,53
15,31,54
