x,y,z
10,55,28
10,56,28
11,48,50
11,48,51
11,48,52
11,48,53
11,49,50
11,49,51
11,49,52
11,49,53
11,49,54
11,50,53
11,50,54
11,51,54
11,54,27
11,54,28
11,54,29
11,55,26
11,55,27
11,55,28
11,55,29
11,56,26
11,56,27
11,56,28
11,56,29
11,56,30
11,57,26
11,57,27
11,57,28
11,57,29
11,57,30
11,58,26
11,58,27
11,58,28
11,58,29
11,58,30
11,58,31
11,59,26
11,59,27
11,59,28
11,59,29
11,59,30
11,59,31
11,60,27
11,60,28
11,60,29
11,60,30
11,60,31
12,47,50
12,47,51
12,47,52
12,47,53
12,48,49
12,48,50
12,48,51
12,48,52
12,48,53
12,49,48
12,49,49
12,49,50
12,49,51
12,49,52
12,49,53
12,50,48
12,50,49
12,51,47
12,51,48
12,54,26
12,54,27
12,54,28
12,54,29
12,55,24
12,55,25
12,55,26
12,55,27
12,55,28
12,55,29
12,55,30
12,56,24
12,56,25
12,56,26
12,56,27
12,56,28
12,56,29
12,56,30
12,57,24
12,57,25
12,57,26
12,57,27
12,57,28
12,57,29
12,57,30
12,58,25
12,58,26
12,58,27
12,58,28
12,58,29
12,58,30
12,58,31
12,59,25
12,59,26
12,59,27
12,59,28
12,59,29
12,59,30
12,59,31
12,60,25
12,60,26
12,60,27
12,60,28
12,60,29
12,60,30
12,60,31
12,61,24
12,61,25
12,61,26
12,61,27
12,61,28
12,61,29
12,62,25
12,62,26
12,62,27
13,47,50
13,47,51
13,47,52
13,48,49
13,48,50
13,48,51
13,48,52
13,48,53
13,49,48
13,49,49
13,49,50
13,49,51
13,49,52
13,49,53
13,50,47
13,50,48
13,50,49
13,50,50
13,51,46
13,51,47
13,51,48
13,51,49
13,52,46
13,52,47
13,52,48
13,52,49
13,53,23
13,54,22
13,54,23
13,54,24
13,54,25
13,54,26
13,54,27
13,54,28
13,55,22
13,55,23
13,55,24
13,55,25
13,55,26
13,55,27
13,55,28
13,55,29
13,56,22
13,56,23
13,56,24
13,56,25
13,56,26
13,56,27
13,56,28
13,56,29
13,56,30
13,57,23
13,57,24
13,57,25
13,57,26
13,57,27
13,57,28
13,57,29
13,57,30
13,58,24
13,58,25
13,58,26
13,58,27
13,58,28
13,58,29
13,58,30
13,58,31
13,59,24
13,59,25
13,59,26
13,59,27
13,59,28
13,59,29
13,59,30
13,59,31
13,60,24
13,60,25
13,60,26
13,60,27
13,60,28
13,60,29
13,60,30
13,61,24
13,61,25
13,61,26
13,61,27
13,61,28
13,61,29
13,62,23
13,62,24
13,62,25
13,62,26
13,62,27
13,62,28
13,63,23
13,63,24
13,63,25
13,63,26
13,63,27
13,63,40
13,63,41
13,64,24
13,64,25
13,64,26
13,64,40
13,64,41
13,65,40
13,65,41
14,47,50
14,47,51
14,48,49
14,48,50
14,48,51
14,48,52
14,49,48
14,49,49
14,49,50
14,49,51
14,49,52
14,50,47
14,50,48
14,50,49
14,50,50
14,51,46
14,51,47
14,51,48
14,51,49
14,52,46
14,52,47
14,52,48
14,53,22
14,53,23
14,54,21
14,54,22
14,54,23
14,54,24
14,54,25
14,55,21
14,55,22
14,55,23
14,55,24
14,55,25
14,55,26
14,55,27
